esp_bautismo_var_S16,S16,-0.1,21/04/2025
esp_bautismo_pct_S16,S16,46.2,21/04/2025
esp_bautismo_total_S16,S16,643,21/04/2025
V_var_S15,S15,0.3,14/04/2025
V_total_S15,S15,1389,14/04/2025
V_percent_S15,S15,5.7,14/04/2025
salud_seguro_var_S15,S15,0,14/04/2025
salud_seguro_pct_S15,S15,84.3,14/04/2025
salud_seguro_total_S15,S15,1173,14/04/2025
p_juf_regcivil_var_S15,S15,0.1,14/04/2025
p_juf_regcivil_pct_S15,S15,99.8,14/04/2025
juf_suenos_var_S15,S15,-0.4,14/04/2025
juf_regcivil_total_S15,S15,1389,14/04/2025
guias_S15,S15,13,14/04/2025
f2040_S15,S15,47,14/04/2025
esp_consagracion_pct_S15,S15,61.1,14/04/2025
esp_consagracion_total_S15,S15,851,14/04/2025
esp_bautismo_var_S15,S15,0.1,14/04/2025
esp_bautismo_pct_S15,S15,46.2,14/04/2025
esp_bautismo_total_S15,S15,643,14/04/2025
V_var_S14,S14,-0.1,07/04/2025
V_total_S14,S14,1385,07/04/2025
V_percent_S14,S14,6,07/04/2025
V_E_var_S14,S14,112.3,07/04/2025
V_E_total_S14,S14,19,07/04/2025
V_E_percent_S14,S14,39.6,07/04/2025
salud_seguro_var_S14,S14,0,07/04/2025
salud_seguro_pct_S14,S14,84.3,07/04/2025
salud_seguro_total_S14,S14,1167,07/04/2025
p_juf_regcivil_var_S14,S14,0.1,07/04/2025
p_juf_regcivil_pct_S14,S14,99.7,07/04/2025
juf_suenos_var_S14,S14,0.2,07/04/2025
juf_regcivil_total_S14,S14,1381,07/04/2025
guias_S14,S14,13,07/04/2025
f2040_S14,S14,48,07/04/2025
esp_consagracion_pct_S14,S14,61.4,07/04/2025
esp_consagracion_total_S14,S14,851,07/04/2025
esp_bautismo_var_S14,S14,0.3,07/04/2025
esp_bautismo_pct_S14,S14,46.1,07/04/2025
esp_bautismo_total_S14,S14,639,07/04/2025
V_var_S13,S13,0.3,31/03/2025
V_var_S13,S13,0.3,24/03/2025
V_total_S13,S13,1387,31/03/2025
V_total_S13,S13,1387,24/03/2025
V_percent_S13,S13,6.4,31/03/2025
V_percent_S13,S13,7.3,24/03/2025
V_E_var_S13,S13,67.8,31/03/2025
V_E_total_S13,S13,11,31/03/2025
V_E_percent_S13,S13,18.6,31/03/2025
salud_seguro_var_S13,S13,0,31/03/2025
salud_seguro_var_S13,S13,0.1,24/03/2025
salud_seguro_pct_S13,S13,84.3,24/03/2025
salud_seguro_pct_S13,S13,84.3,31/03/2025
salud_seguro_total_S13,S13,1169,24/03/2025
salud_seguro_total_S13,S13,1169,31/03/2025
p_juf_regcivil_var_S13,S13,0,24/03/2025
p_juf_regcivil_var_S13,S13,-0.1,31/03/2025
p_juf_regcivil_pct_S13,S13,99.7,24/03/2025
p_juf_regcivil_pct_S13,S13,99.6,31/03/2025
juf_suenos_var_S13,S13,-0.4,24/03/2025
juf_suenos_var_S13,S13,0,31/03/2025
juf_regcivil_total_S13,S13,1383,24/03/2025
juf_regcivil_total_S13,S13,1382,31/03/2025
guias_S13,S13,11,31/03/2025
guias_S13,S13,11,24/03/2025
f2040_S13,S13,59,31/03/2025
esp_consagracion_pct_S13,S13,61.6,24/03/2025
esp_consagracion_pct_S13,S13,61.6,31/03/2025
esp_consagracion_total_S13,S13,854,24/03/2025
esp_consagracion_total_S13,S13,854,31/03/2025
esp_bautismo_var_S13,S13,0.2,24/03/2025
esp_bautismo_var_S13,S13,0,31/03/2025
esp_bautismo_pct_S13,S13,46,24/03/2025
esp_bautismo_pct_S13,S13,46,31/03/2025
esp_bautismo_total_S13,S13,638,24/03/2025
esp_bautismo_total_S13,S13,638,31/03/2025
V_var_S12,S12,-0.3,24/03/2025
V_var_S12,S12,2.8,17/03/2025
V_total_S12,S12,1383,17/03/2025
V_total_S12,S12,1383,24/03/2025
V_percent_S12,S12,7.9,17/03/2025
V_percent_S12,S12,6.8,24/03/2025
salud_seguro_var_S12,S12,-0.6,24/03/2025
salud_seguro_pct_S12,S12,84.2,24/03/2025
salud_seguro_total_S12,S12,1164,24/03/2025
p_juf_regcivil_var_S12,S12,0.1,24/03/2025
p_juf_regcivil_pct_S12,S12,99.7,24/03/2025
juf_suenos_var_S12,S12,-0.8,24/03/2025
juf_regcivil_total_S12,S12,1379,24/03/2025
guias_S12,S12,11,17/03/2025
guias_S12,S12,11,24/03/2025
f2040_S12,S12,9,24/03/2025
esp_consagracion_pct_S12,S12,61.7,24/03/2025
esp_consagracion_total_S12,S12,853,24/03/2025
esp_bautismo_var_S12,S12,-0.6,24/03/2025
esp_bautismo_pct_S12,S12,45.9,24/03/2025
esp_bautismo_total_S12,S12,635,24/03/2025
salud_seguro_var_S11,S11,0,17/03/2025
salud_seguro_pct_S11,S11,84.7,17/03/2025
salud_seguro_total_S11,S11,1162,17/03/2025
p_juf_regcivil_var_S11,S11,0,17/03/2025
p_juf_regcivil_pct_S11,S11,99.6,17/03/2025
juf_suenos_var_S11,S11,0,17/03/2025
juf_regcivil_total_S11,S11,1367,17/03/2025
f2040_S11,S11,7,17/03/2025
f2040_S11,S11,1,18/03/2024
esp_consagracion_pct_S11,S11,62.5,17/03/2025
esp_consagracion_total_S11,S11,857,17/03/2025
esp_bautismo_var_S11,S11,0,17/03/2025
esp_bautismo_pct_S11,S11,46.2,17/03/2025
esp_bautismo_total_S11,S11,634,17/03/2025
salud_seguro_var_S10,S10,-0.1,10/03/2025
salud_seguro_pct_S10,S10,84.7,10/03/2025
salud_seguro_total_S10,S10,1162,10/03/2025
p_juf_regcivil_var_S10,S10,-0.1,10/03/2025
p_juf_regcivil_pct_S10,S10,99.6,10/03/2025
juf_suenos_var_S10,S10,-0.1,10/03/2025
juf_regcivil_total_S10,S10,1367,10/03/2025
f2040_S10,S10,11,10/03/2025
f2040_S10,S10,1,06/03/2023
esp_consagracion_pct_S10,S10,62.5,10/03/2025
esp_consagracion_total_S10,S10,857,10/03/2025
esp_bautismo_var_S10,S10,0,10/03/2025
esp_bautismo_pct_S10,S10,46.2,10/03/2025
esp_bautismo_total_S10,S10,634,10/03/2025
salud_seguro_var_S09,S09,-0.2,03/03/2025
salud_seguro_pct_S09,S09,84.8,03/03/2025
salud_seguro_total_S09,S09,1162,03/03/2025
p_juf_regcivil_var_S09,S09,0.1,03/03/2025
p_juf_regcivil_pct_S09,S09,99.7,03/03/2025
juf_suenos_var_S09,S09,-0.2,03/03/2025
juf_regcivil_total_S09,S09,1366,03/03/2025
f2040_S09,S09,11,03/03/2025
esp_consagracion_pct_S09,S09,62.5,03/03/2025
esp_consagracion_total_S09,S09,856,03/03/2025
esp_bautismo_var_S09,S09,-0.2,03/03/2025
esp_bautismo_pct_S09,S09,46.2,03/03/2025
esp_bautismo_total_S09,S09,633,03/03/2025
salud_seguro_var_S08,S08,-0.4,17/02/2025
salud_seguro_var_S08,S08,0.3,24/02/2025
salud_seguro_pct_S08,S08,84.7,17/02/2025
salud_seguro_pct_S08,S08,85,24/02/2025
salud_seguro_total_S08,S08,1166,24/02/2025
salud_seguro_total_S08,S08,1163,17/02/2025
p_juf_regcivil_var_S08,S08,-0.1,17/02/2025
p_juf_regcivil_var_S08,S08,0,24/02/2025
p_juf_regcivil_pct_S08,S08,99.6,17/02/2025
p_juf_regcivil_pct_S08,S08,99.6,24/02/2025
juf_suenos_var_S08,S08,-0.5,17/02/2025
