indicador_id,periodo,valor
juf_regcivil_p2040_pct_S04,S04,99.6
juf_regcivil_p2040_pct_S02,S02,99.6
juf_regcivil_p2040_pct_S03,S03,99.6
juf_regcivil_p2040_pct_S04,S04,99.8
indicador_id,periodo,valor
salud_seguro_p2040_total_S04,S04,1171
salud_seguro_p2040_total_S01,S01,1151
salud_seguro_p2040_total_S05,S05,1151
salud_seguro_p2040_total_S05,S05,1151
salud_seguro_p2040_total_S01,S01,1167
salud_seguro_p2040_total_S01,S01,1172
salud_seguro_p2040_total_S02,S02,1173
salud_seguro_p2040_total_S02,S02,1173
salud_seguro_p2040_total_S04,S04,1174
salud_seguro_p2040_total_S03,S03,1174
salud_seguro_p2040_total_S03,S03,1178
salud_seguro_p2040_total_S04,S04,1148
salud_seguro_p2040_total_S02,S02,1153
salud_seguro_p2040_total_S04,S04,1164
salud_seguro_p2040_total_S02,S02,1148
salud_seguro_p2040_total_S01,S01,1149
salud_seguro_p2040_total_S05,S05,1169
salud_seguro_p2040_total_S05,S05,1169
salud_seguro_p2040_total_S03,S03,1156
salud_seguro_p2040_total_S03,S03,1164
salud_seguro_p2040_total_S01,S01,1162
salud_seguro_p2040_total_S01,S01,1160
salud_seguro_p2040_total_S04,S04,1162
salud_seguro_p2040_total_S04,S04,1157
salud_seguro_p2040_total_S04,S04,1166
salud_seguro_p2040_total_S03,S03,1162
salud_seguro_p2040_total_S02,S02,1162
salud_seguro_p2040_total_S04,S04,1163
salud_seguro_p2040_total_S02,S02,1163
salud_seguro_p2040_total_S03,S03,1163
salud_seguro_p2040_total_S04,S04,1164
indicador_id,periodo,valor
salud_seguro_p2040_var_S04,S04,0
salud_seguro_p2040_var_S01,S01,0
salud_seguro_p2040_var_S05,S05,0
salud_seguro_p2040_var_S05,S05,-0.4
salud_seguro_p2040_var_S01,S01,-0
salud_seguro_p2040_var_S01,S01,0
salud_seguro_p2040_var_S02,S02,0
salud_seguro_p2040_var_S02,S02,0
salud_seguro_p2040_var_S04,S04,-0
salud_seguro_p2040_var_S03,S03,0
salud_seguro_p2040_var_S03,S03,-0.3
salud_seguro_p2040_var_S04,S04,0
salud_seguro_p2040_var_S02,S02,0
salud_seguro_p2040_var_S04,S04,-0.6
salud_seguro_p2040_var_S02,S02,0.1
salud_seguro_p2040_var_S01,S01,0
salud_seguro_p2040_var_S05,S05,0
salud_seguro_p2040_var_S05,S05,0.1
salud_seguro_p2040_var_S03,S03,-0
salud_seguro_p2040_var_S03,S03,-0.3
salud_seguro_p2040_var_S01,S01,-0.2
salud_seguro_p2040_var_S01,S01,0.1
salud_seguro_p2040_var_S04,S04,0.1
salud_seguro_p2040_var_S04,S04,-0
salud_seguro_p2040_var_S04,S04,0.3
salud_seguro_p2040_var_S03,S03,0
salud_seguro_p2040_var_S02,S02,-0.1
salud_seguro_p2040_var_S04,S04,-0.4
salud_seguro_p2040_var_S02,S02,-0.2
salud_seguro_p2040_var_S03,S03,-0.2
salud_seguro_p2040_var_S04,S04,
indicador_id,periodo,valor
salud_seguro_p2040_pct_S04,S04,84.3
salud_seguro_p2040_pct_S01,S01,85.3
salud_seguro_p2040_pct_S05,S05,85.3
salud_seguro_p2040_pct_S05,S05,85.3
salud_seguro_p2040_pct_S01,S01,84.3
salud_seguro_p2040_pct_S01,S01,84.3
salud_seguro_p2040_pct_S02,S02,84.3
salud_seguro_p2040_pct_S02,S02,84.3
salud_seguro_p2040_pct_S04,S04,84.3
salud_seguro_p2040_pct_S03,S03,84.3
salud_seguro_p2040_pct_S03,S03,84.1
salud_seguro_p2040_pct_S04,S04,85.3
salud_seguro_p2040_pct_S02,S02,85.3
salud_seguro_p2040_pct_S04,S04,84.2
salud_seguro_p2040_pct_S02,S02,85.4
salud_seguro_p2040_pct_S01,S01,85.3
salud_seguro_p2040_pct_S05,S05,84.3
salud_seguro_p2040_pct_S05,S05,84.3
salud_seguro_p2040_pct_S03,S03,85.3
salud_seguro_p2040_pct_S03,S03,85.1
salud_seguro_p2040_pct_S01,S01,84.8
salud_seguro_p2040_pct_S01,S01,85.9
salud_seguro_p2040_pct_S04,S04,85.6
salud_seguro_p2040_pct_S04,S04,85.3
salud_seguro_p2040_pct_S04,S04,85
salud_seguro_p2040_pct_S03,S03,84.7
salud_seguro_p2040_pct_S02,S02,84.7
salud_seguro_p2040_pct_S04,S04,84.7
salud_seguro_p2040_pct_S02,S02,85.7
salud_seguro_p2040_pct_S03,S03,85.5
salud_seguro_p2040_pct_S04,S04,85.8
indicador_id,periodo,valor
juf_suenos_p2040_total_S04,S04,1209
juf_suenos_p2040_total_S01,S01,1084
juf_suenos_p2040_total_S05,S05,1084
juf_suenos_p2040_total_S05,S05,1084
juf_suenos_p2040_total_S01,S01,1210
juf_suenos_p2040_total_S01,S01,1210
juf_suenos_p2040_total_S02,S02,1211
juf_suenos_p2040_total_S02,S02,1216
juf_suenos_p2040_total_S04,S04,1211
juf_suenos_p2040_total_S03,S03,1211
juf_suenos_p2040_total_S03,S03,1242
juf_suenos_p2040_total_S04,S04,1204
juf_suenos_p2040_total_S02,S02,1107
juf_suenos_p2040_total_S04,S04,1210
juf_suenos_p2040_total_S02,S02,1208
juf_suenos_p2040_total_S01,S01,1208
juf_suenos_p2040_total_S05,S05,1209
juf_suenos_p2040_total_S05,S05,1209
juf_suenos_p2040_total_S03,S03,1148
juf_suenos_p2040_total_S03,S03,1212
juf_suenos_p2040_total_S01,S01,1209
juf_suenos_p2040_total_S01,S01,1093
